table,analysis,expectedResult,threshold
Table1_1650.rt,completeness,Incomplete,1650
Table1_1650.rt,consistency,Inconsistent,1650
Table2_1650.rt,completeness,Complete,1650
Table2_1650.rt,consistency,Inconsistent,1650
Table3_1650.rt,completeness,Incomplete,1650
Table3_1650.rt,consistency,Consistent,1650
Table4_1650.rt,completeness,Complete,1650
Table4_1650.rt,consistency,Consistent,1650
Table1_1700.rt,completeness,Incomplete,1700
Table1_1700.rt,consistency,Inconsistent,1700
Table2_1700.rt,completeness,Complete,1700
Table2_1700.rt,consistency,Inconsistent,1700
Table3_1700.rt,completeness,Incomplete,1700
Table3_1700.rt,consistency,Consistent,1700
Table4_1700.rt,completeness,Complete,1700
Table4_1700.rt,consistency,Consistent,1700
Table1_1750.rt,completeness,Incomplete,1750
Table1_1750.rt,consistency,Inconsistent,1750
Table2_1750.rt,completeness,Complete,1750
Table2_1750.rt,consistency,Inconsistent,1750
Table3_1750.rt,completeness,Incomplete,1750
Table3_1750.rt,consistency,Consistent,1750
Table4_1750.rt,completeness,Complete,1750
Table4_1750.rt,consistency,Consistent,1750
Table1_1800.rt,completeness,Incomplete,1800
Table1_1800.rt,consistency,Inconsistent,1800
Table2_1800.rt,completeness,Complete,1800
Table2_1800.rt,consistency,Inconsistent,1800
Table3_1800.rt,completeness,Incomplete,1800
Table3_1800.rt,consistency,Consistent,1800
Table4_1800.rt,completeness,Complete,1800
Table4_1800.rt,consistency,Consistent,1800
Table1_1850.rt,completeness,Incomplete,1850
Table1_1850.rt,consistency,Inconsistent,1850
Table2_1850.rt,completeness,Complete,1850
Table2_1850.rt,consistency,Inconsistent,1850
Table3_1850.rt,completeness,Incomplete,1850
Table3_1850.rt,consistency,Consistent,1850
Table4_1850.rt,completeness,Complete,1850
Table4_1850.rt,consistency,Consistent,1850
Table1_1900.rt,completeness,Incomplete,1900
Table1_1900.rt,consistency,Inconsistent,1900
Table2_1900.rt,completeness,Complete,1900
Table2_1900.rt,consistency,Inconsistent,1900
Table3_1900.rt,completeness,Incomplete,1900
Table3_1900.rt,consistency,Consistent,1900
Table4_1900.rt,completeness,Complete,1900
Table4_1900.rt,consistency,Consistent,1900
Table1_1950.rt,completeness,Incomplete,1950
Table1_1950.rt,consistency,Inconsistent,1950
Table2_1950.rt,completeness,Complete,1950
Table2_1950.rt,consistency,Inconsistent,1950
Table3_1950.rt,completeness,Incomplete,1950
Table3_1950.rt,consistency,Consistent,1950
Table4_1950.rt,completeness,Complete,1950
Table4_1950.rt,consistency,Consistent,1950
Table1_2000.rt,completeness,Incomplete,2000
Table1_2000.rt,consistency,Inconsistent,2000
Table2_2000.rt,completeness,Complete,2000
Table2_2000.rt,consistency,Inconsistent,2000
Table3_2000.rt,completeness,Incomplete,2000
Table3_2000.rt,consistency,Consistent,2000
Table4_2000.rt,completeness,Complete,2000
Table4_2000.rt,consistency,Consistent,2000
